"","eu_state","code","greenhouse","co2","ch4","ch4_co2","no2","no2_co2","hfc_co2","pfc_co2","nf3_sf6_co2","co2_bio_fuel","acidifying_gasses","sox_so2","nox_so2","nh3_so2","o3_precursors","nox_nmvoc","co","co_nmvoc","ch4_nmvoc","nox","ch3","part_u2_5","part_u10","non_ch4_vol","year"
"38","Belgium","BE",277.96,228.01,0.88,22.1,0.06,18.13,9.06,0.33,0.33,25.83,0.85,0.12,0.35,0.38,0.95,0.6,0.61,0.07,0.01,0.49,0.2,0.03,0.05,0.27,2012
"39","Bulgaria","BG",1553.48,1281.7,6.99,174.83,0.28,82.26,14.25,0,0.44,41.56,12.16,8.67,2.2,1.29,5.73,3.84,2.88,0.32,0.1,3.15,0.68,0.18,0.71,1.47,2012
"40","Switzerland","CH",72.14,54.25,0.38,9.57,0.02,5.61,2.23,0.07,0.4,9.75,0.32,0.02,0.1,0.2,0.33,0.18,0.17,0.02,0.01,0.15,0.11,0.01,0.02,0.13,2012
"41","Cyprus","CY",401.28,331.14,1.91,47.74,0.05,13.82,7.74,0,0.84,5.01,2.7,0.97,0.77,0.96,1.82,1.34,0.34,0.04,0.03,1.1,0.51,0.05,0.11,0.41,2012
"42","Czechia","CZ",755.59,612.05,3.61,90.35,0.13,38.72,13.8,0.04,0.63,28.49,2.81,0.93,0.92,0.96,2.72,1.61,1.62,0.18,0.05,1.32,0.5,0.07,0.15,0.88,2012
"43","Germany","DE",325.17,282.78,0.9,22.54,0.05,15.11,3.37,0.1,1.26,29.73,1.17,0.21,0.49,0.48,1.34,0.85,0.68,0.07,0.01,0.7,0.25,0.05,0.09,0.4,2012
"44","Denmark","DK",385.21,323.78,1.32,32.98,0.08,24.86,2.99,0.02,0.59,47.11,6.83,2.81,3.39,0.63,6.55,5.9,0.77,0.09,0.02,4.84,0.33,0.27,0.32,0.55,2012
"45","Estonia","EE",1282.91,1149.19,2.78,69.62,0.18,53.52,10.45,0,0.12,131.02,6.45,3.08,2.13,1.25,4.96,3.71,3.05,0.34,0.04,3.04,0.66,0.44,0.79,0.88,2012
"46","Greece","EL",626.54,507.09,2.52,62.89,0.1,28.34,27.3,0.89,0.03,9.49,4.63,1.86,2.03,0.74,4.45,3.53,1.97,0.22,0.04,2.9,0.39,0.23,0.4,0.66,2012
"47","Ireland","IE",338.76,213.42,3.27,81.81,0.13,39.04,4.19,0.06,0.24,7.21,1.87,0.1,0.38,1.39,1.24,0.66,0.22,0.02,0.05,0.54,0.73,0.03,0.12,0.51,2012
"48","Spain","ES",308.19,236.87,1.59,39.82,0.05,15.91,15.3,0.06,0.23,15.65,1.73,0.3,0.6,0.82,1.63,1.04,0.83,0.09,0.02,0.85,0.43,0.07,0.12,0.47,2012
"49","Finland","FI",339.58,278.08,1.13,28.25,0.09,26.44,6.67,0.02,0.13,169.53,1.41,0.33,0.72,0.36,1.66,1.25,0.72,0.08,0.02,1.03,0.19,0.06,0.12,0.31,2012
"50","Iceland","IS",477.48,361.82,2.38,59.49,0.1,29.48,17.04,9.13,0.52,0.03,11.09,8.15,2.01,0.93,5.16,3.5,10.01,1.1,0.03,2.87,0.49,0.16,0.23,0.52,2012
"51","Portugal","PT",395.36,301.31,2.6,65.03,0.07,20.62,8.13,0.07,0.21,40.59,1.88,0.38,0.8,0.71,2.26,1.39,1.17,0.13,0.04,1.14,0.37,0.23,0.45,0.71,2012
"52","Romania","RO",932.54,628.6,8.37,209.14,0.3,88.11,6.19,0.06,0.44,20.08,6.25,2.22,1.22,2.82,3.74,2.12,2.82,0.31,0.12,1.74,1.48,0.2,0.52,1.2,2012
"53","Serbia","RS",NA,1430.98,11.71,292.68,0.14,40.73,0.01,NA,0,15.43,20.47,14.49,3.23,2.75,8.55,5.62,4.75,0.52,0.16,4.61,1.45,0.49,0.91,2.24,2012
"54","Sweden","SE",132.95,106.32,0.5,12.58,0.04,11.65,2.07,0.21,0.14,106.68,0.64,0.08,0.3,0.25,0.87,0.53,0.47,0.05,0.01,0.43,0.13,0.04,0.07,0.29,2012
"55","Slovenia","SI",504.1,413.78,2.48,61.91,0.07,22.1,5.22,0.58,0.52,21.38,2.37,0.34,1.02,1.01,2.76,1.78,2.44,0.27,0.03,1.46,0.53,0.09,0.14,0.68,2012
"56","Slovakia","SK",546.94,456.4,2.11,52.67,0.1,28.85,8.31,0.39,0.32,86.84,2.3,0.83,0.68,0.78,2.43,1.19,2.73,0.3,0.03,0.98,0.41,0.06,0.13,0.91,2012
"57","Turkey","TR",NA,474.6,3.55,88.79,0.18,52.3,NA,NA,NA,NA,6.26,3.33,0.81,2.12,3.11,1.42,1.67,0.18,0.05,1.16,1.11,NA,NA,1.46,2012
"58","UnitedKingdom","UK",260.43,213.02,1.24,30.9,0.03,9.94,6.11,0.14,0.32,8.46,1.01,0.28,0.49,0.24,1.29,0.85,0.49,0.05,0.02,0.7,0.13,0.03,0.06,0.36,2012
"59","Norway","NO",178.28,154.72,0.54,13.59,0.02,7.09,2.17,0.56,0.14,11.15,1.17,0.22,0.79,0.16,1.79,1.38,0.62,0.07,0.01,1.13,0.08,0.09,0.11,0.34,2012
"60","Italy","IT",259.45,208.19,1.21,30.14,0.04,11.52,8.26,1.03,0.32,9.87,1.15,0.26,0.4,0.5,1.16,0.69,0.41,0.05,0.02,0.57,0.26,0.05,0.07,0.4,2012
"61","Lithuania","LT",629.19,405.72,4.42,110.58,0.35,103.66,9.09,0,0.13,63.66,4.33,0.55,1.65,2.14,4.13,2.87,0.94,0.1,0.06,2.35,1.12,0.11,0.29,1.1,2012
"62","Luxembourg","LU",182.32,161.68,0.53,13.2,0.02,6.72,0.53,0,0.2,5.11,0.64,0.04,0.37,0.23,0.92,0.65,0.39,0.04,0.01,0.53,0.12,0.02,0.04,0.22,2012
"63","Latvia","LV",526.61,373.83,3.15,78.81,0.22,64.32,9.26,0,0.4,152.58,2.99,0.16,1.46,1.38,4.21,2.54,2.05,0.23,0.04,2.08,0.72,0.31,0.78,1.4,2012
"64","Malta","MT",500.82,441.89,1.03,25.76,0.02,7.24,25.85,0,0.08,1.2,2.57,1.2,0.95,0.42,2.05,1.66,0.94,0.1,0.01,1.36,0.22,0.07,0.16,0.28,2012
"65","Netherlands","NL",300.33,252.95,1.21,30.32,0.04,13.18,3.29,0.29,0.29,21.53,0.99,0.11,0.52,0.36,1.29,0.9,0.49,0.05,0.02,0.74,0.19,0.03,0.05,0.32,2012
"66","Poland","PL",1055.21,838.85,5.34,133.39,0.22,64.24,18.57,0.04,0.12,66.68,5.09,1.79,1.66,1.63,4.76,2.9,2.5,0.27,0.07,2.38,0.86,0.23,0.42,1.51,2012
"67","France","FR",192.44,134.97,1.17,29.16,0.07,20.15,7.5,0.35,0.31,14.86,1.05,0.13,0.34,0.58,1.08,0.59,0.79,0.09,0.02,0.49,0.3,0.03,0.07,0.38,2013
"68","Croatia","HR",512.4,371.33,3.57,89.15,0.15,43.26,8.5,0,0.16,14.68,2.98,0.45,0.92,1.61,2.96,1.6,1.52,0.17,0.05,1.31,0.85,0.15,0.46,1.14,2013
"69","Hungary","HU",563.73,408.5,3.66,91.57,0.16,46.89,15.59,0.05,1.13,40.41,2.69,0.19,1.04,1.47,2.72,1.8,0.91,0.1,0.05,1.48,0.77,0.08,0.29,0.77,2013
"70","Austria","AT",201,162.11,0.91,22.75,0.04,10.58,4.45,0.17,0.94,58.18,0.7,0.05,0.26,0.4,0.79,0.44,0.75,0.08,0.01,0.36,0.21,0.03,0.06,0.25,2013
